quote,author,tags
be yourself; everyone else is already taken.,Oscar Wilde,[]
"i'm selfish, impatient and a little insecure. i make mistakes, i am out of control and at times hard to handle. but if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe,[]
two things are infinite: the universe and human stupidity; and i'm not sure about the universe.,Albert Einstein,[]
"so many books, so little time.",Frank Zappa,[]
a room without books is like a body without a soul.,Marcus Tullius Cicero,[]
"be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.",Bernard M. Baruch,[]
"you've gotta dance like there's nobody watching,love like you'll never be hurt,sing like there's nobody listening,and live like it's heaven on earth.",William W. Purkey,[]
you know you're in love when you can't fall asleep because reality is finally better than your dreams.,Dr. Seuss,[]
"you only live once, but if you do it right, once is enough.",Mae West,[]
be the change that you wish to see in the world.,Mahatma Gandhi,[]
in three words i can sum up everything i've learned about life: it goes on.,Robert Frost,[]
"if you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.","J.K. Rowling,",[]
donâ€™t walk in front of meâ€¦ i may not followdonâ€™t walk behind meâ€¦ i may not leadwalk beside meâ€¦ just be my friend,Albert Camus,[]
"if you tell the truth, you don't have to remember anything.",Mark Twain,[]
"friendship ... is born at the moment when one man says to another ""what! you too? i thought that no one but myself . . .","C.S. Lewis,",[]
a friend is someone who knows all about you and still loves you.,Elbert Hubbard,[]
always forgive your enemies; nothing annoys them so much.,Oscar Wilde,[]
"to live is the rarest thing in the world. most people exist, that is all.",Oscar Wilde,[]
live as if you were to die tomorrow. learn as if you were to live forever.,Mahatma Gandhi,[]
darkness cannot drive out darkness: only light can do that. hate cannot drive out hate: only love can do that.,"Martin Luther King Jr.,",[]
"without music, life would be a mistake.","Friedrich Nietzsche,",[]
we accept the love we think we deserve.,"Stephen Chbosky,",[]
i am so clever that sometimes i don't understand a single word of what i am saying.,"Oscar Wilde,",[]
to be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,Ralph Waldo Emerson,[]
"insanity is doing the same thing, over and over again, but expecting different results.",Narcotics Anonymous,[]
twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. so throw off the bowlines. sail away from the safe harbor. catch the trade winds in your sails. explore. dream. discover.,"H. Jackson Brown Jr.,",[]
it is better to be hated for what you are than to be loved for what you are not.,"Andre Gide,",[]
"it is our choices, harry, that show what we truly are, far more than our abilities.","J.K. Rowling,",[]
"the person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.","Jane Austen,",[]
"imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,[]
there are only two ways to live your life. one is as though nothing is a miracle. the other is as though everything is a miracle.,Albert Einstein,[]
it does not do to dwell on dreams and forget to live.,"J.K. Rowling,",[]
"good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,[]
"as he read, i fell in love the way you fall asleep: slowly, and then all at once.","John Green,",[]
"we are all in the gutter, but some of us are looking at the stars.","Oscar Wilde,",[]
"fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.","Neil Gaiman,",[]
"it is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.","Maurice Switzer,",[]
"the fool doth think he is wise, but the wise man knows himself to be a fool.","William Shakespeare,",[]
"whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).",Mark Twain,[]
life is what happens to us while we are making other plans.,Allen Saunders,[]
"yesterday is history, tomorrow is a mystery, today is a gift of god, which is why we call it the present.",Bill Keane,[]
"i have not failed. i've just found 10,000 ways that won't work.",Thomas A. Edison,[]
"it is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,[]
"the opposite of love is not hate, it's indifference. the opposite of art is not ugliness, it's indifference. the opposite of faith is not heresy, it's indifference. and the opposite of life is not death, it's indifference.",Elie Wiesel,[]
a woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,[]
the man who does not read has no advantage over the man who cannot read.,Mark Twain,[]
if you don't stand for something you will fall for anything.,Gordon A. Eadie,[]
"i may not have gone where i intended to go, but i think i have ended up where i needed to be.","douglas adams,",[]
i solemnly swear that i am up to no good.,"J.K. Rowling,",[]
"outside of a dog, a book is man's best friend. inside of a dog it's too dark to read.","Groucho Marx,",[]
i am enough of an artist to draw freely upon my imagination. imagination is more important than knowledge. knowledge is limited. imagination encircles the world.,Albert Einstein,[]
"love all, trust a few, do wrong to none.","William Shakespeare,",[]
"i like nonsense, it wakes up the brain cells. fantasy is a necessary ingredient in living.",Dr. Seuss,[]
have you ever been in love? horrible isn't it? it makes you so vulnerable. it opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.,"Neil Gaiman,",[]
"a day without sunshine is like, you know, night.",Steve Martin,[]
"a reader lives a thousand lives before he dies, said jojen. the man who never reads lives only one.","George R.R. Martin,",[]
never put off till tomorrow what may be done day after tomorrow just as well.,Mark Twain,[]
,"Kent M. Keith,",[]
you have brains in your head. you have feet in your shoes. you can steer yourself any direction you choose. you're on your own. and you know what you know. and you are the one who'll decide where to go...,"Dr. Seuss,",[]
that which does not kill us makes us stronger.,Friedrich Nietzsche,[]
"being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",Lao Tzu,[]
it is never too late to be what you might have been.,George Eliot,[]
for every minute you are angry you lose sixty seconds of happiness.,Ralph Waldo Emerson,[]
"it takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.","J.K. Rowling,",[]
i love deadlines. i love the whooshing noise they make as they go by.,"Douglas Adams,",[]
"if you judge people, you have no time to love them.",Mother Teresa,[]
"there is never a time or place for true love. it happens accidentally, in a heartbeat, in a single flashing, throbbing moment.","Sarah Dessen,",[]
"if you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein,[]
"i'm not upset that you lied to me, i'm upset that from now on i can't believe you.",Friedrich Nietzsche,[]
there is no greater agony than bearing an untold story inside you.,"Maya Angelou,",[]
love is that condition in which the happiness of another person is essential to your own.,"Robert A. Heinlein,",[]
anyone who thinks sitting in church can make you a christian must also think that sitting in a garage can make you a car.,Garrison Keillor,[]
"if you only read the books that everyone else is reading, you can only think what everyone else is thinking.","Haruki Murakami,",[]
i have always imagined that paradise will be a kind of library.,Jorge Luis Borges,[]
everything you can imagine is real.,Pablo Picasso,[]
"women and cats will do as they please, and men and dogs should relax and get used to the idea.",Robert A. Heinlein,[]
sometimes the questions are complicated and the answers are simple.,Dr. Seuss,[]
never trust anyone who has not brought a book with them.,"Lemony Snicket,",[]
"you love me. real or not real?""i tell him, ""real.","Suzanne Collins,",[]
you can never get a cup of tea large enough or a book long enough to suit me.,C.S. Lewis,[]
we read to know we're not alone.,"William Nicholson,",[]
"sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.","John Green,",[]
all you need is love. but a little chocolate now and then doesn't hurt.,Charles M. Schulz,[]
"of course it is happening inside your head, harry, but why on earth should that mean that it is not real?","J.K. Rowling,",[]
beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,Jim Henson,[]
life isn't about finding yourself. life is about creating yourself.,George Bernard Shaw,[]
"today you are you, that is truer than true. there is no one alive who is youer than you.","Dr. Seuss,",[]
"to the well-organized mind, death is but the next great adventure.","J.K. Rowling,",[]
i'm not afraid of death; i just don't want to be there when it happens.,Woody Allen,[]
"if one cannot enjoy reading a book over and over again, there is no use in reading it at all.",Oscar Wilde,[]
"if you want your children to be intelligent, read them fairy tales. if you want them to be more intelligent, read them more fairy tales.",Albert Einstein,[]
logic will get you from a to z; imagination will get you everywhere.,Albert Einstein,[]
"whenever i feel the need to exercise, i lie down until it goes away.",Paul   Terry,[]
sometimes people are beautiful.not in looks.not in what they say.just in what they are.,"Markus Zusak,",[]
you don't get to choose if you get hurt in this world...but you do have some say in who hurts you. i like my choices.,"John Green,",[]
"the truth is, everyone is going to hurt you. you just got to find the ones worth suffering for.",Bob Marley,[]
"the more that you read, the more things you will know. the more that you learn, the more places you'll go.","Dr. Seuss,",[]
"love looks not with the eyes, but with the mind,and therefore is winged cupid painted blind.","William Shakespeare,",[]
folks are usually about as happy as they make their minds up to be.,Abraham Lincoln,[]
"do what you can, with what you have, where you are.",Theodore Roosevelt,[]
there is no friend as loyal as a book.,Ernest Hemingway,[]
"one good thing about music, when it hits you, you feel no pain.",Bob Marley,[]
"i find television very educating. every time somebody turns on the set, i go into the other room and read a book.",Groucho Marx,[]
the story so far:in the beginning the universe was created.this has made a lot of people very angry and been widely regarded as a bad move.,"Douglas Adams,",[]
not all of us can do great things. but we can do small things with great love.,Mother Teresa,[]
"success is not final, failure is not fatal: it is the courage to continue that counts.",Winston S. Churchill,[]
"love is like the wind, you can't see it but you can feel it.","Nicholas Sparks,",[]
"listen to the mustn'ts, child. listen to the don'ts. listen to the shouldn'ts, the impossibles, the won'ts. listen to the never haves, then listen close to me... anything can happen, child. anything can be.",Shel Silverstein,[]
"when one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",Helen Keller,[]
"if you live to be a hundred, i want to live to be a hundred minus one day so i never have to live without you.","Joan Powers,",[]
"so, this is my life. and i want you to know that i am both happy and sad and i'm still trying to figure out how that could be.","Stephen Chbosky,",[]
"it matters not what someone is born, but what they grow to be.","J.K. Rowling,",[]
"life is like riding a bicycle. to keep your balance, you must keep moving.",Albert Einstein,[]
"there is nothing i would not do for those who are really my friends. i have no notion of loving people by halves, it is not my nature.","Jane Austen,",[]
"you don't love someone because they're perfect, you love them in spite of the fact that they're not.","Jodi Picoult,",[]
some people never go crazy. what truly horrible lives they must lead.,Charles Bukowski,[]
the difference between genius and stupidity is: genius has its limits.,Alexandre Dumas-fils,[]
"love never dies a natural death. it dies because we don't know how to replenish its source. it dies of blindness and errors and betrayals. it dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.",Anais Nin,[]
"what really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. that doesn't happen much, though.","J.D. Salinger,",[]
